name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Lisbon,2023-10-01T00:00:00,22.4,22.4,14,58.93,0,0,,0,0,5.8,12.7,322,1021,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T01:00:00,22.2,22.2,14.3,60.72,0,0,,0,0,4.7,12.3,335,1020.5,30,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T02:00:00,21.8,21.8,13.3,58.56,0,0,,0,0,4,10.7,349,1020,0.3,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T03:00:00,21.4,21.4,13.5,60.72,0,0,,0,0,2.5,6.3,130,1019.8,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T04:00:00,18.8,18.8,13.4,71.2,0,0,,0,0,2.5,0.6,360,1019.9,30,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T05:00:00,17.3,17.3,13.3,77.6,0,0,,0,0,4.7,0.6,30,1019.8,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T06:00:00,18.1,18.1,14.9,81.26,0,0,,0,0,5.4,4.6,349,1019.8,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T07:00:00,18.2,18.2,14.9,80.94,0,0,,0,0,7.6,4.7,20,1020,0,11.6,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T08:00:00,18.1,18.1,15.1,82.65,0,0,,0,0,7.9,5,24,1020,2.2,10,18,0.1,0,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T09:00:00,20.7,20.7,15.4,71.84,0,0,,0,0,7.6,6.3,65,1020.8,0,10,188,0.7,2,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T10:00:00,22.4,22.4,15.8,66.1,0,0,,0,0,8.3,8.8,56,1021,0,11.6,371,1.3,4,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T11:00:00,24.3,24.3,15.2,56.83,0,0,,0,0,9.7,10.4,10,1021,6,10,536,1.9,5,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T12:00:00,27.3,27.2,13.6,43.1,0,0,,0,0,9.7,6.3,63,1021,8.4,10,643,2.3,6,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T13:00:00,29.3,28.6,13,36.72,0,0,,0,0,7.9,9.6,350,1020.5,0,11.6,707,2.5,7,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T14:00:00,31.4,30.3,12.5,31.43,0,0,,0,0,6.8,8.3,10,1019.8,0,10,712,2.6,7,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T15:00:00,31.9,30.5,11.6,29.03,0,0,,0,0,7.6,10.9,196,1018.8,0.7,10,661,2.4,7,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T16:00:00,32,30.4,10.3,26.46,0,0,,0,0,21.6,9.4,165,1018.5,10,11.6,550,2,6,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T17:00:00,31.1,29.9,11.7,30.56,0,0,,0,0,23.8,12.1,245,1017.8,33,10,392,1.4,4,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T18:00:00,29.8,28.8,11.9,33.21,0,0,,0,0,22.7,15.3,242,1017.8,2.3,10,202,0.7,2,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T19:00:00,26.6,26.6,13.6,44.73,0,0,,0,0,19.8,16.8,257,1018.4,0,11.6,28,0.1,0,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T20:00:00,23.9,23.9,14.3,55.2,0,0,,0,0,19.4,11.4,271,1018.8,29.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T21:00:00,22.6,22.6,14.7,61.21,0,0,,0,0,17.3,5.1,240,1019.4,49.6,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T22:00:00,21.2,21.2,15.6,70.63,0,0,,0,0,13.7,1.7,328,1019.9,10,11.6,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-01T23:00:00,21,21,16.2,73.85,0,0,,0,0,9.4,2.4,342,1019.8,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T00:00:00,19.6,19.6,16.3,81.43,0,0,,0,0,7.6,1.2,46,1019.8,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T01:00:00,19.5,19.5,16.8,84.06,0,0,,0,0,6.1,1.1,317,1019.9,0,11.6,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T02:00:00,18.9,18.9,17,89.05,0,0,,0,0,6.5,0.3,0,1019,0,10,0,0,0,,Clear,clear-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T03:00:00,18.9,18.9,16.7,87.58,0,0,,0,0,5.8,6.3,59,1019,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T04:00:00,17.8,17.8,16.1,89.6,0,0,,0,0,5.4,3.4,47,1019,23.2,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T05:00:00,17.4,17.4,15.6,88.94,0,0,,0,0,5,0.3,0,1019,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T06:00:00,17.3,17.3,15.4,88.93,0,0,,0,0,5,0.3,333,1019,27.9,9.7,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T07:00:00,17.8,17.8,15.6,87.21,0,0,,0,0,3.6,5.8,262,1019.5,32.6,7.9,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T08:00:00,18,18,18,100,0,0,,0,0,3.6,8.8,260,1019.8,91.1,3.4,14,0.1,0,,Overcast,cloudy,"08532099999,08534099999,D7126,08536099999,LPPT"
Lisbon,2023-10-02T09:00:00,19,19,18.1,94.82,0,0,,0,0,2.9,10.2,254,1020.4,90.7,6.8,88,0.3,1,,Overcast,cloudy,"08532099999,08534099999,D7126,08536099999,LPPT"
