name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Lisbon,2023-06-01T00:00:00,16.2,16.2,13.9,86.17,0,0,,0,0,12.2,10.1,9,1015,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T01:00:00,15.2,15.2,13.5,89.56,0,0,,0,0,6.8,7.2,355,1014.5,24.7,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T02:00:00,16,16,14,87.93,0,0,,0,0,7.2,7.2,321,1014,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T03:00:00,15.4,15.4,13.9,90.31,0,0,,0,0,6.1,8.3,314,1013,0,10,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T04:00:00,14.9,14.9,12.8,87.55,0,0,,0,0,6.1,9,325,1012.6,10,11.6,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T05:00:00,14.9,14.9,13,88.73,0,0,,0,0,6.5,8.5,316,1012,30,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T06:00:00,14,14,13,93.7,0,0,,0,0,5.4,8,356,1012.8,27.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08534099999,08536099999,LPPT"
Lisbon,2023-06-01T07:00:00,15,15,14,93.56,0,0,,0,0,5.8,7.5,325,1013,29.5,11.6,14,0.1,0,,Partially cloudy,partly-cloudy-day,"08534099999,D7126,08536099999,LPPT"
Lisbon,2023-06-01T08:00:00,17.4,17.4,14.2,81.42,0,0,,0,0,6.1,4.6,256,1013.4,28,10,78,0.3,1,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
Lisbon,2023-06-01T09:00:00,18.8,18.8,13.6,71.89,0,0,,0,0,5.4,6.6,320,1013,28,10,285,1,3,,Partially cloudy,partly-cloudy-day,"08532099999,08534099999,D7126,08536099999,LPPT"
