"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"690",38,8,30,29,10,28,17,19,1,1,0,20,208,208,167,41,7,4,60,93,167,136,31,76,26,306,139,167,20,26,191,69,"1170-381"
"691",36,13,22,33,10,26,25,4,1,6,0,12,141,140,111,29,18,21,39,63,112,86,26,59,17,215,105,110,19,10,127,59,"1170-251"
"692",53,1,50,48,2,51,13,32,4,4,0,9,404,402,322,80,31,22,148,154,322,219,103,186,99,823,345,478,101,75,377,270,"1250-039"
"693",24,24,0,24,17,7,7,15,1,0,1,10,24,24,19,5,6,8,16,2,19,10,9,14,7,57,26,31,7,9,33,8,"1400-406"
"694",19,3,16,14,3,16,11,8,0,0,0,13,82,82,61,21,0,1,23,33,61,49,12,29,8,123,60,63,3,11,77,32,"1170-378"
"695",61,7,54,47,12,49,29,26,4,2,0,17,582,582,429,153,75,142,187,222,429,333,96,200,90,817,392,425,101,54,510,152,"1170-054"
"696",21,6,15,20,8,13,5,10,2,4,0,20,157,157,120,37,9,17,39,77,120,100,20,55,19,203,90,113,19,7,104,73,"1250-250"
"697",18,7,11,15,6,12,6,11,0,0,1,12,98,98,69,29,6,2,25,43,69,53,16,35,15,141,55,86,18,5,90,28,"1170-337"
"698",9,9,0,9,9,0,0,9,0,0,0,0,9,9,8,1,0,1,0,7,8,3,5,6,5,22,13,9,4,3,13,2,"1500-624"
"699",21,4,17,20,5,16,5,1,15,0,0,5,141,141,122,19,7,1,1,118,122,65,57,103,40,318,152,166,30,38,186,64,"1070-023"
"700",1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,"1500-225"
"701",15,0,15,9,0,15,0,10,0,3,2,11,209,209,158,51,43,94,82,63,158,125,33,75,31,302,135,167,43,23,154,82,"1050-128"
"702",46,34,12,46,41,5,31,7,2,6,0,26,104,104,49,55,4,0,3,43,49,39,10,25,13,94,45,49,13,14,50,17,"1070-273"
"703",54,22,32,52,27,27,7,33,13,1,0,53,175,175,103,72,11,6,30,71,103,71,32,64,26,225,104,121,25,12,142,46,"1350-259"
"704",38,8,30,32,5,33,23,7,4,2,2,27,173,173,116,57,20,26,53,49,116,74,42,72,42,270,132,138,50,28,167,25,"1200-690"
"705",4,2,2,3,0,4,1,3,0,0,0,3,14,14,7,7,2,1,1,6,7,6,1,3,0,12,4,8,0,2,8,2,"1200-006"
"706",24,13,11,23,11,13,14,1,7,1,1,5,82,82,57,25,2,3,21,33,57,44,13,23,12,103,52,51,7,15,52,29,"1200-855"
"707",43,32,11,42,30,13,0,41,1,1,0,2,179,179,140,39,39,62,93,42,140,99,41,85,37,289,122,167,34,28,135,92,"1300-166"
"708",23,5,18,20,3,20,20,2,0,0,1,3,87,87,56,31,1,4,20,31,56,42,14,27,10,105,46,59,8,15,52,30,"1200-813"
"709",18,8,10,16,0,18,14,2,0,0,2,12,77,77,50,27,13,10,22,26,50,29,21,33,20,131,60,71,26,15,66,24,"1200-808"
"710",20,17,3,20,19,1,17,1,2,0,0,13,32,32,22,10,4,2,6,15,22,17,5,11,2,45,23,22,4,2,23,16,"1300-021"
"711",36,19,16,33,23,13,33,2,0,0,1,23,138,137,90,47,9,0,15,67,90,70,20,48,15,193,95,98,11,21,108,53,"1300-023"
"712",10,1,9,9,1,9,0,1,0,9,0,0,77,77,67,10,22,66,53,11,67,36,31,52,28,175,86,89,27,27,88,33,"1400-188"
"713",3,0,3,0,0,3,1,2,0,0,0,1,9,9,7,2,0,0,5,2,7,5,2,3,2,17,10,7,3,2,10,2,"1200-148"
"714",7,0,7,5,0,7,7,0,0,0,0,4,26,26,23,3,1,0,5,16,23,20,3,12,3,45,24,21,5,4,30,6,"1200-656"
"715",37,21,16,37,21,16,21,16,0,0,0,28,152,152,101,51,4,3,64,31,101,76,25,51,18,197,86,111,19,15,108,55,"1300-371"
