"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"1",15,1,14,12,1,14,10,4,0,1,0,4,114,114,84,30,2,4,30,45,84,52,32,39,15,202,106,96,14,31,127,30,"1170-193"
"2",10,0,9,7,0,10,9,0,0,0,1,1,93,92,63,29,21,11,18,38,63,40,23,35,22,197,75,122,26,24,85,62,"1050-180"
"3",8,8,0,8,6,2,0,4,1,3,0,0,8,8,6,2,3,4,4,2,6,1,5,5,4,21,12,9,4,5,9,3,"1400-139"
"4",8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,3,7,6,1,7,4,3,6,3,20,8,12,4,2,7,7,"1400"
"5",8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,2,6,6,1,7,3,4,7,5,22,9,13,7,3,8,4,"1400-139"
"6",37,15,22,35,31,6,28,5,3,0,1,19,124,124,82,42,11,15,34,36,82,55,27,51,28,178,92,86,17,24,109,28,"1950-147"
"7",28,7,21,26,6,22,16,12,0,0,0,1,134,134,98,36,5,4,32,58,98,78,20,44,23,195,82,113,23,19,114,39,"1000-243"
"8",8,8,0,8,8,0,5,0,0,2,1,1,8,8,6,2,2,5,5,0,6,4,2,4,2,12,5,7,0,3,8,1,"1070-181"
"9",3,0,3,3,0,3,0,2,1,0,0,1,27,27,20,7,6,6,13,6,20,16,4,8,2,42,17,25,2,6,22,12,"1050-180"
"10",7,2,5,7,2,5,0,6,1,0,0,0,55,55,42,13,8,2,19,19,42,32,10,21,6,87,44,43,14,8,46,19,"1070-034"
"11",8,0,8,4,0,8,1,5,1,1,0,2,78,78,59,19,5,14,36,18,59,42,17,32,15,122,55,67,15,11,70,26,"1000-093"
"12",11,2,9,10,0,11,10,1,0,0,0,3,56,56,43,13,5,6,18,24,43,29,14,26,14,101,48,53,13,12,53,23,"1050-000"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1950-408"
"14",32,3,29,28,5,27,17,11,0,4,0,15,165,165,130,35,5,7,33,91,130,99,31,66,29,276,142,134,21,36,167,52,"1900-998"
"15",25,0,23,20,0,25,6,16,1,1,1,3,268,266,162,104,24,32,65,78,163,113,50,82,31,360,157,203,30,36,202,92,"1000-024"
"16",9,0,9,7,0,9,2,7,0,0,0,4,45,45,23,22,2,6,14,8,23,17,6,12,5,51,22,29,7,5,23,16,"1050-120"
"17",1,0,1,1,0,1,1,0,0,0,0,0,14,14,12,2,0,0,8,0,12,5,7,10,6,37,18,19,7,6,18,6,NA
"18",22,3,19,22,4,18,18,4,0,0,0,3,116,116,89,27,3,0,29,52,89,66,23,37,15,180,87,93,14,15,114,37,"1000-172"
"19",10,0,10,6,0,10,0,5,5,0,0,5,352,352,292,60,118,9,229,34,292,203,89,180,74,625,277,348,65,61,314,185,"1500-110"
"20",18,0,17,13,1,17,0,18,0,0,0,5,133,132,108,24,3,5,72,25,108,73,35,59,30,229,104,125,27,34,113,55,"1700-036"
"21",25,10,15,24,8,17,7,9,9,0,0,2,215,215,168,47,31,90,131,26,168,111,57,98,43,354,165,189,42,27,187,98,"1500-592"
"22",8,0,8,7,0,8,0,8,0,0,0,8,87,87,65,22,17,47,46,12,65,41,24,40,19,151,71,80,25,12,65,49,"1449-039"
"23",9,9,0,9,8,1,0,8,1,0,0,1,9,9,7,2,1,6,7,0,7,4,3,5,3,19,7,12,4,4,5,6,"1400"
"24",39,31,8,37,26,13,38,0,0,0,1,13,73,73,38,35,9,2,8,27,38,29,9,22,12,76,39,37,10,8,36,22,"1349-022"
"25",12,10,2,12,10,2,5,6,0,1,0,3,30,30,21,9,6,5,16,3,21,17,4,11,3,38,15,23,4,1,13,20,"1400-077"
"26",15,14,1,15,11,4,5,7,2,1,0,1,20,20,19,1,8,9,14,4,19,10,9,17,6,51,25,26,6,5,30,10,"1400-077"
"27",27,27,0,27,13,14,1,25,1,0,0,3,28,28,22,6,5,18,21,1,22,10,12,17,11,70,33,37,14,13,28,15,"1449-039"
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"29",12,0,12,12,0,12,0,12,0,0,0,8,216,216,161,55,35,1,72,77,161,126,35,93,25,312,135,177,28,17,157,110,"1500-547"
"30",4,0,4,3,0,4,0,0,4,0,0,0,111,111,86,25,37,78,65,12,86,64,22,52,22,175,73,102,17,19,69,70,"1500-611"
"31",28,13,15,28,17,11,18,10,0,0,0,26,96,96,69,27,8,0,19,44,69,48,21,40,25,154,76,78,34,17,68,35,"1250-096"
"32",14,0,13,12,0,14,0,13,1,0,0,8,200,199,154,45,26,27,106,31,154,123,31,77,27,290,136,154,25,21,127,117,"1600-161"
"33",28,0,28,28,0,28,0,28,0,0,0,2,196,196,164,32,12,13,76,66,164,101,63,98,60,376,190,186,78,40,184,74,"1700-204"
"34",6,0,6,3,0,6,0,6,0,0,0,4,97,97,77,20,14,30,42,29,77,64,13,32,12,134,62,72,13,10,61,50,"1600-154"
"35",5,0,5,4,0,5,0,0,0,5,0,0,88,88,61,27,60,61,29,28,61,31,30,50,29,163,82,81,36,14,103,10,"1950-080"
"36",10,2,8,8,1,9,0,9,0,1,0,3,55,55,33,22,9,13,19,12,33,21,12,18,10,73,31,42,9,10,33,21,"1050-047"
"37",15,3,12,14,4,11,0,15,0,0,0,8,108,108,73,35,3,2,33,36,73,51,22,36,21,150,68,82,28,10,79,33,"1200-624"
"38",1,0,1,0,0,1,1,0,0,0,0,0,4,4,4,0,0,0,0,2,4,4,0,2,0,7,2,5,0,1,6,0,"1100-054"
"39",28,9,19,26,11,17,28,0,0,0,0,12,142,142,114,28,12,2,7,104,114,90,24,64,23,223,103,120,20,19,133,51,"1300-023"
"40",13,4,9,12,4,9,1,10,2,0,0,9,119,119,92,27,23,3,63,24,92,56,36,57,29,218,92,126,32,27,100,59,"1400-191"
"41",18,1,17,10,0,18,18,0,0,0,0,5,66,66,43,23,1,1,9,30,43,32,11,15,7,83,51,32,8,7,54,14,"1200-096"
"42",6,6,0,6,6,0,4,1,1,0,0,1,6,6,5,1,3,4,4,1,5,2,3,5,2,14,8,6,3,0,7,4,"1349-016"
"43",21,3,18,13,2,19,20,1,0,0,0,16,73,73,46,27,6,0,8,37,46,38,8,16,9,81,33,48,13,7,46,15,"1100-538"
"44",10,4,6,7,1,9,8,2,0,0,0,2,54,54,21,33,5,5,6,14,21,16,5,11,5,40,25,15,5,3,25,7,"1200-036"
"45",7,0,7,5,0,7,6,1,0,0,0,2,31,31,10,21,0,0,3,5,10,8,2,3,1,17,9,8,0,3,11,3,"1200-254"
"46",11,1,10,7,0,11,11,0,0,0,0,3,50,50,27,23,0,0,20,6,27,21,6,9,3,45,19,26,0,4,22,19,"1200-115"
"47",2,1,1,2,0,2,2,0,0,0,0,1,5,5,1,4,1,0,0,1,1,0,1,1,0,3,2,1,0,0,1,2,"1100-054"
"48",29,10,19,28,3,26,19,4,1,1,4,11,107,107,63,44,8,1,13,46,63,50,13,31,9,118,49,69,7,11,69,31,"1200-780"
"49",8,0,8,6,0,8,0,7,0,1,0,1,69,69,52,17,9,3,30,16,52,32,20,34,18,130,60,70,25,16,65,24,"1070-128"
"50",9,0,9,7,0,9,1,6,2,0,0,1,117,117,81,36,29,17,21,57,81,65,16,30,14,139,72,67,13,9,84,33,"1050-025"
"51",11,0,11,6,0,11,3,5,1,1,1,1,74,74,42,32,18,17,16,18,42,29,13,25,10,102,53,49,12,9,65,16,"1000-141"
"52",16,2,13,11,1,15,0,15,0,1,0,4,104,103,63,40,10,15,41,14,65,38,27,42,24,185,98,87,35,20,71,59,"1050-047"
"53",15,0,15,10,0,15,4,6,3,1,1,5,176,176,112,64,64,67,70,27,112,77,35,63,26,243,109,134,32,23,132,56,"1000-139"
"54",30,25,5,30,25,5,23,0,6,1,0,5,80,80,73,7,9,7,61,7,73,36,37,59,25,197,98,99,31,13,96,57,"1070-181"
"55",43,30,13,43,35,8,25,15,1,1,1,31,115,115,76,39,9,2,16,57,76,41,35,52,35,201,92,109,50,18,104,29,"1070-165"
"56",38,6,32,33,1,37,5,24,1,2,6,14,321,321,257,64,51,102,143,91,257,165,92,144,69,590,285,305,78,59,334,119,"1000-172"
"57",16,6,10,13,7,9,7,9,0,0,0,10,165,165,133,32,5,4,71,53,133,108,25,87,25,260,121,139,27,13,118,102,"1900-107"
"58",9,0,9,9,0,9,0,0,1,8,0,9,137,137,114,23,39,1,9,100,114,63,51,77,45,317,149,168,55,56,150,56,"1900-269"
"59",11,0,11,11,0,11,0,11,0,0,0,0,126,126,108,18,10,1,28,71,108,70,38,75,29,243,121,122,21,23,124,75,"1900-330"
"60",41,41,0,41,41,0,0,26,0,0,15,0,41,41,39,2,30,1,1,37,39,20,19,32,18,107,51,56,13,15,53,26,"1500-534"
"61",11,0,11,7,0,11,0,11,0,0,0,0,192,192,163,29,50,64,111,32,163,119,44,91,31,324,144,180,23,35,127,139,"1500-102"
"62",15,15,0,15,15,0,1,11,3,0,0,5,15,15,10,5,4,9,8,1,10,5,5,7,4,31,11,20,5,6,15,5,"1500-481"
"63",14,0,14,13,0,14,0,12,2,0,0,6,282,282,231,51,85,61,113,103,231,164,67,134,61,493,219,274,49,55,257,132,"1700-009"
"64",6,0,6,3,0,6,0,6,0,0,0,4,123,123,98,25,22,0,34,60,98,63,35,62,33,223,98,125,34,29,92,68,"1700-195"
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1500-400"
"66",22,0,22,15,0,22,0,21,0,1,0,1,358,358,271,87,97,32,107,142,271,191,80,145,78,554,244,310,79,52,297,126,"1700-178"
"67",6,0,6,6,0,6,0,0,0,6,0,0,128,128,110,18,87,110,96,10,110,48,62,99,64,311,145,166,63,38,183,27,"1500-851"
"68",27,25,0,27,17,10,0,27,0,0,0,10,28,26,23,3,10,22,19,0,24,9,15,19,13,85,30,55,9,16,36,24,"1700-194"
"69",18,0,18,18,0,18,0,0,18,0,0,18,209,209,204,5,29,1,3,178,204,93,111,175,86,588,307,281,97,66,337,88,"1950-080"
"70",14,9,5,13,2,12,0,12,2,0,0,4,93,93,72,21,3,12,14,55,72,52,20,33,19,148,57,91,21,17,80,30,"1700-108"
"71",13,0,13,11,0,13,0,13,0,0,0,2,90,90,55,35,1,1,36,12,55,37,18,36,20,129,62,67,20,15,72,22,"1700-190"
"72",5,0,4,4,0,5,0,4,1,0,0,0,104,104,92,12,39,88,83,2,92,65,27,65,22,201,92,109,28,12,67,94,"1500-065"
"73",30,0,30,28,0,30,0,9,20,1,0,24,291,291,213,78,35,48,121,79,213,166,47,108,41,410,184,226,31,35,225,119,"1500-085"
"74",9,1,8,6,1,8,0,9,0,0,0,8,156,156,122,34,37,2,96,15,122,81,41,90,37,280,127,153,17,42,124,97,"1500-851"
"75",5,0,5,3,0,5,0,4,1,0,0,0,112,112,94,18,59,91,77,6,94,67,27,59,26,201,90,111,27,17,83,74,"1500-065"
"76",5,0,5,4,0,5,0,5,0,0,0,3,100,100,88,12,47,84,76,5,88,58,30,51,21,193,90,103,19,16,88,70,"1500-506"
"77",5,0,5,5,0,5,0,5,0,0,0,3,100,100,76,24,49,72,60,9,76,50,26,51,22,177,80,97,25,18,80,54,"1500-506"
"78",9,0,9,8,0,9,0,8,1,0,0,0,181,181,147,34,66,124,103,25,147,111,36,79,29,294,131,163,35,22,122,115,"1500-506"
"79",17,0,17,16,0,17,0,17,0,0,0,3,113,113,91,22,3,2,65,13,91,56,35,62,34,210,96,114,37,20,107,46,"1700-049"
"80",16,0,16,8,0,16,0,13,1,2,0,3,197,197,144,53,23,10,104,28,144,114,30,74,30,265,106,159,34,16,112,103,"1500-107"
"81",30,2,28,20,2,28,0,24,1,5,0,12,392,392,298,94,83,86,181,102,298,206,92,178,80,640,288,352,88,55,304,193,"1500-330"
"82",10,5,4,8,6,4,0,10,0,0,0,0,74,73,58,15,2,12,33,18,66,53,13,32,8,122,48,74,7,8,54,53,"1500-225"
"83",20,0,20,17,0,20,1,14,4,1,0,15,355,355,281,74,83,98,213,48,281,208,73,164,65,575,248,327,60,57,251,207,"1500-895"
"84",32,0,32,30,0,32,0,32,0,0,0,28,249,249,190,59,9,2,77,101,190,135,55,100,48,378,173,205,43,37,209,89,"1500-085"
"85",26,0,26,21,0,26,0,23,3,0,0,24,315,315,243,72,34,73,149,73,243,191,52,133,46,474,207,267,34,44,208,188,"1500-244"
"86",18,0,18,18,0,18,0,1,17,0,0,18,286,286,258,28,85,3,104,139,258,132,126,215,109,687,327,360,104,74,401,108,"1950-151"
"87",23,13,9,22,11,12,14,8,0,0,1,1,90,89,66,23,15,15,27,37,66,36,30,42,20,199,82,117,22,21,80,76,"1700-204"
"88",77,70,7,77,69,8,61,16,0,0,0,53,112,112,56,56,16,8,28,13,56,35,21,38,20,138,65,73,30,13,63,32,"1950-132"
"89",1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,2,"1100-051"
"90",8,0,8,2,0,8,8,0,0,0,0,0,54,54,34,20,3,4,23,9,34,26,8,20,9,72,32,40,8,9,40,15,"1200-996"
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1400-015"
"92",14,14,0,14,14,0,1,11,1,0,1,1,14,14,13,1,3,8,11,1,13,5,8,13,9,43,19,24,7,8,22,6,"1349-016"
"93",30,9,21,22,13,17,9,16,5,0,0,11,94,94,57,37,6,4,19,36,57,43,14,30,11,131,77,54,12,11,86,22,"1150-324"
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1250-044"
"95",82,44,38,75,52,30,59,22,0,0,1,57,317,317,211,106,11,23,79,125,211,151,60,121,57,439,194,245,55,34,254,96,"1350-097"
"96",7,4,3,6,1,6,4,0,0,1,2,0,39,39,17,22,8,15,12,3,17,10,7,15,7,44,19,25,7,6,20,11,"1250-042"
"97",11,3,8,9,2,9,8,2,0,0,1,2,44,44,25,19,4,3,9,13,25,22,3,11,2,49,30,19,2,1,36,10,"1150-207"
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1750-184"
"99",16,0,16,14,0,16,0,0,15,1,0,16,204,204,181,23,108,8,28,147,181,84,97,144,83,519,248,271,109,68,254,88,"1600-647"
"100",8,0,8,7,0,8,0,8,0,0,0,8,105,105,83,22,21,3,48,27,83,66,17,50,14,163,77,86,10,11,62,80,"1750-160"
"101",9,0,9,9,0,9,0,3,6,0,0,0,120,120,94,26,48,53,60,22,94,64,30,55,27,193,93,100,27,14,126,26,"1600-805"
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1800-178"
"103",15,0,15,13,0,15,0,15,0,0,0,4,151,151,128,23,31,4,102,11,128,87,41,70,34,266,121,145,33,25,149,59,"1800-111"
"104",30,23,7,30,26,4,28,0,2,0,0,17,70,70,55,15,3,1,26,25,55,36,19,39,14,128,65,63,18,8,74,28,"1800-048"
"105",10,0,10,6,0,10,0,10,0,0,0,10,192,192,158,34,4,7,113,36,158,115,43,91,38,317,146,171,25,34,161,97,"1800-048"
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1990-057"
"107",23,0,23,22,0,23,0,0,23,0,0,12,293,293,269,24,119,6,49,214,269,183,86,193,80,622,292,330,65,54,304,199,"1600-647"
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1349-016"
"109",7,2,5,2,0,7,4,0,3,0,0,0,25,25,15,10,3,2,7,5,15,12,3,10,3,30,19,11,0,5,17,8,"1200-224"
"110",10,4,6,7,2,8,8,1,0,0,1,5,22,22,16,6,0,0,5,10,16,11,5,7,3,29,20,9,2,3,20,4,"1200-154"
"111",5,0,5,4,0,5,5,0,0,0,0,1,21,21,14,7,0,0,1,13,14,13,1,4,2,22,11,11,1,1,14,6,"1200"
"112",10,1,9,6,1,9,10,0,0,0,0,3,31,31,21,10,0,0,6,15,21,18,3,8,3,34,17,17,2,3,14,15,"1200-115"
"113",27,27,0,27,25,2,7,14,2,1,3,5,27,27,19,8,3,9,18,0,19,7,12,16,7,52,29,23,5,7,24,16,"1349-016"
"114",32,24,8,30,18,14,31,1,0,0,0,26,62,62,39,23,3,3,16,21,39,29,10,21,8,81,36,45,9,11,44,17,"1250-033"
"115",16,3,13,12,3,13,11,5,0,0,0,13,59,59,45,14,0,0,19,26,45,32,13,22,12,89,42,47,8,12,48,21,"1170-379"
"116",62,11,51,57,16,46,2,38,19,3,0,30,288,288,194,94,13,19,74,108,194,137,57,108,50,413,209,204,60,32,226,95,"1170-376"
"117",21,0,21,18,0,21,7,11,3,0,0,10,132,132,96,36,8,8,38,53,96,69,27,55,27,199,95,104,28,18,99,54,"1350-166"
"118",17,0,17,16,0,17,6,10,1,0,0,7,140,140,123,17,9,7,33,79,123,91,32,79,38,267,129,138,34,30,142,61,"1350-166"
"119",15,0,15,11,1,14,10,2,0,3,0,7,87,87,55,32,9,9,29,25,55,44,11,30,11,105,47,58,8,7,58,32,"1170-337"
"120",16,1,15,14,1,15,5,10,0,0,1,2,109,109,81,28,15,1,33,45,81,60,21,49,23,172,71,101,19,19,84,50,"1350-168"
"121",6,0,6,6,0,6,3,2,0,1,0,1,51,51,34,17,2,2,12,19,34,23,11,21,9,77,33,44,7,11,42,17,"1350-145"
"122",16,1,15,15,1,15,0,15,1,0,0,0,171,171,116,55,17,15,44,61,116,93,23,52,21,213,80,133,25,13,116,59,"1350-330"
"123",7,1,6,4,3,4,5,2,0,0,0,6,42,42,23,19,0,0,6,16,23,21,2,6,1,31,15,16,1,0,19,11,"1169-056"
"124",2,2,0,2,2,0,0,2,0,0,0,2,2,2,1,1,1,0,0,0,1,0,1,1,1,3,2,1,0,1,2,0,"1400-081"
"125",13,3,10,11,3,10,3,9,1,0,0,2,115,115,90,25,22,25,48,32,90,64,26,51,26,195,90,105,25,18,100,52,"1350-273"
"126",39,13,26,27,6,33,25,10,4,0,0,20,114,114,84,30,5,4,12,64,84,35,49,44,27,296,206,90,25,36,211,24,"1100-391"
"127",29,12,17,25,8,21,13,15,1,0,0,15,88,88,44,44,5,3,18,21,44,23,21,28,11,112,57,55,9,12,73,18,"1150-199"
"128",21,7,14,19,8,13,17,1,2,1,0,9,99,99,63,36,0,15,28,31,63,42,21,38,14,135,69,66,14,10,79,32,"1170-381"
"129",31,11,20,25,11,20,18,13,0,0,0,2,149,149,107,42,4,4,42,56,107,88,19,55,15,193,83,110,14,5,113,61,"1170-112"
"130",1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,"1100-108"
"131",25,7,18,19,8,17,21,4,0,0,0,19,171,171,134,37,3,4,37,92,134,96,38,66,29,283,140,143,35,18,174,56,"1100-085"
"132",45,10,34,36,11,34,28,13,3,1,0,32,282,281,208,73,34,40,105,85,208,115,93,146,78,562,281,281,87,82,280,113,"1250-033"
"133",16,9,7,14,8,8,16,0,0,0,0,2,45,45,34,11,1,2,6,23,34,23,11,16,8,70,35,35,11,2,38,19,"1250-039"
"134",50,20,30,49,20,30,43,6,0,0,1,1,245,245,176,69,20,9,74,87,176,142,34,86,37,322,142,180,29,29,189,75,"1250-033"
"135",68,37,31,61,47,21,60,3,3,2,0,47,228,228,171,57,18,27,56,105,171,135,36,79,30,327,145,182,31,26,187,83,"1250-033"
"136",70,13,57,49,6,64,42,21,1,0,6,10,346,346,230,116,37,42,81,131,230,174,56,118,50,461,225,236,62,44,266,89,"1250"
"137",34,6,28,25,6,28,17,9,4,1,3,19,207,207,133,74,13,22,50,71,133,90,43,69,37,296,148,148,49,25,171,51,"1250-015"
"138",32,4,28,29,3,29,18,13,0,0,1,15,135,135,103,32,8,9,51,43,103,77,26,52,21,218,108,110,26,15,123,54,"1170-378"
"139",29,13,15,28,20,9,22,4,1,1,1,13,95,94,61,33,7,1,13,42,61,42,19,37,20,164,63,101,20,17,73,54,"1350-097"
"140",82,21,60,62,23,59,80,1,1,0,0,38,359,358,237,121,25,9,27,199,237,106,131,88,50,959,791,168,60,79,772,48,"1100-085"
"141",14,0,14,14,0,14,9,4,1,0,0,3,70,70,50,20,1,1,21,26,50,35,15,30,9,102,48,54,8,3,64,27,"1170-381"
"142",10,0,10,9,0,10,3,7,0,0,0,6,102,102,83,19,2,0,28,53,83,67,16,40,19,154,62,92,17,14,74,49,"1350-166"
"143",14,2,12,11,1,13,6,8,0,0,0,0,150,150,109,41,23,24,32,64,109,90,19,46,14,195,80,115,8,22,108,57,"1050-170"
"144",6,1,5,4,0,6,0,4,0,2,0,2,71,71,35,36,13,24,18,9,35,30,5,20,4,65,28,37,5,3,31,26,"1050-019"
"145",59,59,0,59,59,0,0,57,0,1,1,33,59,59,48,11,18,32,41,4,48,29,19,35,17,115,53,62,12,20,56,27,"1900-107"
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1500-536"
"147",33,1,31,32,2,31,20,13,0,0,0,3,234,234,156,78,3,0,60,80,156,129,27,63,20,286,125,161,18,29,175,64,"1900-462"
"148",30,2,28,27,3,27,3,11,0,16,0,6,408,408,336,72,211,237,226,90,336,214,122,228,124,752,355,397,124,56,441,131,"1950-449"
"149",9,0,9,7,0,9,0,2,7,0,0,9,183,183,156,27,6,3,101,51,156,108,48,96,41,330,155,175,40,23,171,96,"1950-230"
"150",2,2,0,2,2,0,0,2,0,0,0,2,4,4,2,0,0,0,0,0,4,2,2,3,1,10,3,7,3,2,5,0,"1950-157"
"151",2,1,1,2,1,1,1,1,0,0,0,2,7,7,4,3,0,1,0,3,4,2,2,4,1,10,5,5,1,0,7,2,"1350-188"
"152",51,38,13,51,40,11,40,4,5,1,1,23,109,109,67,41,5,1,26,37,68,58,10,30,7,119,54,65,7,7,70,35,"1350-188"
"153",3,0,3,1,0,3,0,3,0,0,0,0,132,132,106,26,85,98,87,12,106,74,32,70,24,227,100,127,21,22,89,95,"1500-030"
"154",8,1,7,3,0,8,8,0,0,0,0,5,49,49,22,27,8,1,8,12,22,18,4,12,3,43,21,22,5,2,31,5,"1100-042"
"155",18,2,16,8,2,16,13,3,0,1,1,5,102,102,56,46,10,9,31,22,56,37,19,37,20,135,64,71,20,20,71,24,"1100-171"
"156",9,1,8,3,1,8,4,0,0,5,0,0,41,41,29,12,5,10,15,14,29,18,11,27,12,78,43,35,9,10,47,12,"1200-115"
"157",14,14,0,14,14,0,0,14,0,0,0,1,15,15,11,4,1,2,10,1,11,8,3,8,2,24,14,10,0,2,14,8,"1349-016"
"158",2,1,0,2,0,2,2,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,1,1,1,22,21,1,1,12,8,1,"1100-416"
"159",21,8,13,19,1,20,5,7,5,4,0,7,104,104,79,25,9,25,39,35,79,52,27,45,19,176,86,90,23,16,86,51,"1200-828"
"160",13,1,12,9,0,13,13,0,0,0,0,0,51,51,42,9,3,0,10,32,42,33,9,16,9,89,48,41,8,15,47,19,"1100-172"
"161",11,3,8,6,1,10,11,0,0,0,0,11,36,36,26,10,0,0,0,22,26,23,3,13,2,50,25,25,3,4,33,10,"1100-542"
"162",29,5,24,21,2,27,29,0,0,0,0,5,104,104,61,43,1,4,19,37,61,44,17,30,18,122,54,68,20,12,74,16,"1200-321"
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-232"
"164",20,18,2,20,17,3,2,16,1,1,0,6,29,29,21,8,3,7,14,4,21,13,8,13,6,47,22,25,6,2,24,15,"1300-070"
"165",15,0,15,12,0,15,6,8,0,0,1,1,119,119,94,25,14,12,47,39,94,66,28,50,27,195,90,105,32,19,104,40,"1350-180"
"166",35,15,20,33,19,16,35,0,0,0,0,19,117,117,75,42,3,1,16,55,75,53,22,39,14,153,65,88,15,7,96,35,"1170-381"
"167",39,11,27,26,8,31,10,25,4,0,0,13,141,141,88,53,7,5,35,50,88,66,22,42,13,177,88,89,13,8,108,48,"1150-251"
"168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1170-041"
"169",57,37,19,55,38,19,44,7,1,2,3,18,154,154,117,37,21,22,35,72,117,82,35,53,35,240,113,127,38,28,135,39,"1250-250"
"170",36,8,28,32,15,21,25,10,1,0,0,12,165,165,123,42,4,4,46,67,123,104,19,54,19,218,109,109,15,26,132,45,"1170-339"
"171",71,47,23,68,53,18,63,1,0,7,0,27,165,164,90,74,12,13,46,42,90,64,26,51,23,203,110,93,22,30,117,34,"1170-381"
"172",51,44,7,51,48,3,40,11,0,0,0,43,83,83,59,24,9,0,2,53,59,42,17,29,19,119,55,64,16,20,59,24,"1070-181"
"173",9,0,9,8,0,9,1,7,0,1,0,1,81,81,60,21,22,10,32,24,60,35,25,37,17,139,63,76,22,12,68,37,"1050-000"
"174",16,1,15,14,1,15,5,11,0,0,0,1,152,152,104,48,22,0,64,29,104,74,30,61,29,224,99,125,21,25,135,43,"1000-060"
"175",8,0,8,7,0,8,0,0,8,0,0,7,217,217,201,16,113,5,7,189,201,113,88,174,95,591,276,315,105,78,291,117,"1500-536"
"176",26,4,22,24,6,20,21,4,1,0,0,7,158,158,114,44,31,33,40,65,114,81,33,56,24,244,115,129,29,29,144,42,"1000-243"
"177",1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1500-524"
"178",15,0,15,15,0,15,0,0,15,0,0,0,210,210,192,18,45,3,30,159,192,77,115,186,110,610,277,333,103,88,313,106,"1500-536"
