"Date.Time","Zip.Code","Active.Energy..kWh."
"2023-03-18T23:00:00+00:00",1200,17438.1683280266
"2023-09-03T00:00:00+01:00",1350,7761.60919140308
"2023-06-02T17:00:00+01:00",1400,9138.89955857212
"2023-04-04T15:00:00+01:00",1170,7320.40153773985
"2023-02-19T11:00:00+00:00",1200,21057.0104181492
"2023-08-25T14:00:00+01:00",1495,11979.699930862
"2023-08-21T08:00:00+01:00",1500,33402.8181092264
"2023-03-23T12:00:00+00:00",1400,10445.1376648181
"2023-02-05T09:00:00+00:00",1200,19310.0198331251
"2022-11-13T01:00:00+00:00",1400,5427.28475448379
"2023-04-20T05:00:00+01:00",1350,5599.56757225177
"2022-12-12T13:00:00+00:00",1170,8814.29791084907
"2022-12-11T06:00:00+00:00",1170,4712.24693098672
"2023-03-14T04:00:00+00:00",1250,9595.80974525075
"2023-05-31T13:00:00+01:00",1495,11138.5328179179
"2023-08-13T18:00:00+01:00",1500,35049.4597781128
"2023-01-12T10:00:00+00:00",1250,22457.4520492557
"2022-12-18T05:00:00+00:00",1400,5412.66560337729
"2023-04-07T16:00:00+01:00",1300,11593.2728245396
"2023-05-19T18:00:00+01:00",1200,23107.4756495785
"2023-06-28T21:00:00+01:00",1400,9340.80572698093
"2023-07-23T21:00:00+01:00",1250,15293.1015640743
"2023-07-08T22:00:00+01:00",1400,7682.49441283384
"2023-05-27T19:00:00+01:00",1150,10736.4017616693
"2022-11-18T20:00:00+00:00",1150,12093.452199155
"2023-07-08T12:00:00+01:00",1300,14379.1285142303
"2023-05-13T04:00:00+01:00",1300,7897.75002968963
"2023-06-26T07:00:00+01:00",1400,6171.60773587587
"2023-04-07T13:00:00+01:00",1500,31115.1250662719
"2023-09-30T19:00:00+01:00",1300,14552.8359168557
"2023-03-26T14:00:00+01:00",1250,14214.3109262342
"2023-04-22T23:00:00+01:00",1200,17813.0840065959
"2022-11-05T11:00:00+00:00",1250,15280.8224933898
"2023-02-25T12:00:00+00:00",1400,9837.78724621061
"2023-06-30T10:00:00+01:00",1250,23701.8901307887
"2023-09-23T19:00:00+01:00",1500,36933.418053442
"2023-06-19T03:00:00+01:00",1170,4397.1937545184
"2023-07-03T10:00:00+01:00",1200,25858.29365003
"2023-02-06T19:00:00+00:00",1495,14872.0350744179
"2023-07-07T00:00:00+01:00",1200,18454.9844455663
"2023-06-27T12:00:00+01:00",1170,7955.94179977341
"2023-02-12T14:00:00+00:00",1400,9768.5810768045
"2023-04-05T04:00:00+01:00",1400,4800.74190136849
"2023-02-15T12:00:00+00:00",1200,27694.4276207712
"2023-01-13T15:00:00+00:00",1150,13822.2810311757
"2023-09-08T22:00:00+01:00",1150,11544.8055440389
"2023-01-11T10:00:00+00:00",1500,40568.1603756923
"2023-03-26T00:00:00+00:00",1300,7264.36274859385
"2023-01-05T08:00:00+00:00",1495,11588.8218322732
"2023-08-02T17:00:00+01:00",1200,26207.6128708478
"2023-08-09T15:00:00+01:00",1400,9901.40529497767
"2023-07-11T01:00:00+01:00",1170,5755.03193968084
"2023-02-18T17:00:00+00:00",1495,10009.3934843881
"2023-04-19T15:00:00+01:00",1400,9368.5166942465
"2023-04-08T02:00:00+01:00",1500,18417.3298906791
"2023-06-23T18:00:00+01:00",1150,16062.9416148044
"2023-09-10T18:00:00+01:00",1250,15042.1315773546
"2023-06-30T16:00:00+01:00",1495,11693.6440159453
"2023-02-24T23:00:00+00:00",1350,10099.6509207796
"2023-02-06T20:00:00+00:00",1250,19520.4240248432
"2023-09-26T10:00:00+01:00",1250,22013.4407933351
"2023-07-30T09:00:00+01:00",1300,10849.4288663716
"2023-09-23T04:00:00+01:00",1200,12085.7552452338
"2023-05-13T14:00:00+01:00",1150,11182.161470159
"2023-01-15T00:00:00+00:00",1150,9694.17201358906
"2022-11-10T03:00:00+00:00",1350,5451.99715627437
"2023-09-23T15:00:00+01:00",1350,9367.29920811171
"2023-01-22T15:00:00+00:00",1495,9950.31544291284
"2023-06-05T20:00:00+01:00",1400,8498.11833848481
"2023-08-24T01:00:00+01:00",1350,6769.26614150351
"2023-04-02T07:00:00+01:00",1400,5021.93354209219
"2022-11-17T02:00:00+00:00",1300,7738.94056853037
"2023-08-02T11:00:00+01:00",1150,14518.3350916965
"2023-02-23T15:00:00+00:00",1250,22165.8433375753
"2023-09-22T03:00:00+01:00",1250,10544.9625577486
"2023-04-25T08:00:00+01:00",1170,4569.75449281713
"2023-07-22T23:00:00+01:00",1495,8246.34044775691
"2023-09-11T12:00:00+01:00",1495,11490.0251447764
"2023-02-19T15:00:00+00:00",1350,9373.05469634966
"2023-04-17T10:00:00+01:00",1150,12556.2290798542
"2023-03-11T03:00:00+00:00",1400,5559.14759570974
"2023-07-14T20:00:00+01:00",1170,7852.36853463357
"2023-02-03T19:00:00+00:00",1350,11392.3932905142
"2023-03-28T15:00:00+01:00",1250,21045.1423386815
"2023-01-06T08:00:00+00:00",1250,19366.7018870507
"2023-01-12T15:00:00+00:00",1350,11495.1470486306
"2022-12-26T09:00:00+00:00",1350,9022.44537718828
"2023-08-08T18:00:00+01:00",1200,26730.2063439118
"2023-09-17T08:00:00+01:00",1300,9962.26232585928
"2022-12-31T15:00:00+00:00",1200,20378.4612839858
"2023-07-24T23:00:00+01:00",1150,10488.6963605343
"2023-04-01T02:00:00+01:00",1150,7518.36905517685
"2023-01-12T04:00:00+00:00",1170,4598.94287898593
"2023-02-16T07:00:00+00:00",1150,11485.4110899893
"2023-04-06T19:00:00+01:00",1300,12715.172671662
"2022-11-14T22:00:00+00:00",1200,18345.8084015058
"2023-09-18T19:00:00+01:00",1200,23091.4165188659
"2023-01-21T02:00:00+00:00",1400,6133.28367356568
"2022-11-10T15:00:00+00:00",1150,12745.2977565093
"2023-08-31T09:00:00+01:00",1400,7533.90243910029
"2023-02-14T09:00:00+00:00",1500,47629.8331661306
"2023-03-13T14:00:00+00:00",1500,38699.5345471906
"2023-04-17T10:00:00+01:00",1300,14668.7540123522
"2023-03-23T11:00:00+00:00",1200,24814.4174587423
"2022-12-07T09:00:00+00:00",1350,11519.1496860766
"2023-06-08T01:00:00+01:00",1350,7392.98795699435
"2023-03-19T20:00:00+00:00",1350,10003.3328033883
"2022-12-31T09:00:00+00:00",1495,9696.71015373045
"2023-04-08T13:00:00+01:00",1300,12094.5263649908
"2023-08-08T21:00:00+01:00",1500,42402.4496465151
"2023-04-26T21:00:00+01:00",1170,8120.39147451903
"2023-04-27T18:00:00+01:00",1200,25190.1514354698
"2022-12-27T16:00:00+00:00",1200,23525.9952467142
"2023-01-18T13:00:00+00:00",1300,16884.1694340033
"2023-02-06T06:00:00+00:00",1350,7720.25725741662
"2023-03-05T17:00:00+00:00",1200,21638.5533992805
"2023-01-14T12:00:00+00:00",1400,9210.91854081373
"2023-05-15T09:00:00+01:00",1400,7650.62472736317
"2023-06-16T15:00:00+01:00",1495,11867.0152116107
"2022-11-11T14:00:00+00:00",1300,14353.3647186925
