X,Y,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
-86845.4319470349,-103281.127700083,30243,11065602301,11,1106,110656,110656023,023,01,02301,11065602301,1,17,170,15,1,14,12,1,14,10,4,0,1,0,4,114,114,84,30,2,4,30,45,84,52,32,39,15,202,106,96,14,31,127,30,409.85326750074,9657.76694254511
-88244.7298182795,-103255.76314998,30244,11065700203,11,1106,110657,110657002,002,03,00203,11065700203,1,17,170,10,0,9,7,0,10,9,0,0,0,1,1,93,92,63,29,21,11,18,38,63,40,23,35,22,197,75,122,26,24,85,62,368.048568602576,8445.22672755078
-94468.2796734087,-107055.368449987,30311,11065801011,11,1106,110658,110658010,010,11,01011,11065801011,1,17,170,8,8,0,8,6,2,0,4,1,3,0,0,8,8,6,2,3,4,4,2,6,1,5,5,4,21,12,9,4,5,9,3,239.674581933322,2582.4121268247
-94597.2148849547,-107032.587699114,30312,11065801012,11,1106,110658,110658010,010,12,01012,11065801012,1,17,170,8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,3,7,6,1,7,4,3,6,3,20,8,12,4,2,7,7,250.811945221572,3077.84491946759
-94485.05521572,-107032.749199984,30313,11065801013,11,1106,110658,110658010,010,13,01013,11065801013,1,17,170,8,8,0,8,8,0,0,8,0,0,0,0,8,8,7,1,2,6,6,1,7,3,4,7,5,22,9,13,7,3,8,4,238.956180719658,2555.62056236235
-84752.6904646534,-103513.818600094,30609,11060701205,11,1106,110607,110607012,012,05,01205,11060701205,1,17,170,37,15,22,35,31,6,28,5,3,0,1,19,124,124,82,42,11,15,34,36,82,55,27,51,28,178,92,86,17,24,109,28,1253.52669662275,70031.8724482896
-87408.1157895431,-103346.275200595,30610,11065602601,11,1106,110656,110656026,026,01,02601,11065602601,1,17,170,28,7,21,26,6,22,16,12,0,0,0,1,134,134,98,36,5,4,32,58,98,78,20,44,23,195,82,113,23,19,114,39,347.167632823265,7234.54924575312
-90278.4694803808,-103279.89694988,30611,11061000601,11,1106,110610,110610006,006,01,00601,11061000601,1,17,170,8,8,0,8,8,0,5,0,0,2,1,1,8,8,6,2,2,5,5,0,6,4,2,4,2,12,5,7,0,3,8,1,185.909696442856,2017.71373732775
-88182.5641771764,-103304.847749721,30612,11065700110,11,1106,110657,110657001,001,10,00110,11065700110,1,17,170,3,0,3,3,0,3,0,2,1,0,0,1,27,27,20,7,6,6,13,6,20,16,4,8,2,42,17,25,2,6,22,12,312.683087692703,4894.34170542394
-89602.7317119733,-103332.244349723,30613,11061001305,11,1106,110610,110610013,013,05,01305,11061001305,1,17,170,7,2,5,7,2,5,0,6,1,0,0,0,55,55,42,13,8,2,19,19,42,32,10,21,6,87,44,43,14,8,46,19,607.943671145187,21791.3228713346
-87853.4476412137,-103326.712149835,30614,11065601903,11,1106,110656,110656019,019,03,01903,11065601903,1,17,170,8,0,8,4,0,8,1,5,1,1,0,2,78,78,59,19,5,14,36,18,59,42,17,32,15,122,55,67,15,11,70,26,497.944454115019,12351.4770885403
-88373.2175737655,-103298.656900442,30615,11065700202,11,1106,110657,110657002,002,02,00202,11065700202,1,17,170,11,2,9,10,0,11,10,1,0,0,0,3,56,56,43,13,5,6,18,24,43,29,14,26,14,101,48,53,13,12,53,23,405.249601422347,10256.9995989913
-84409.295141618,-104004.843499263,30616,11060701206,11,1106,110607,110607012,012,06,01206,11060701206,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4213.88731687319,1012975.99609938
-86510.7231986161,-103328.382649994,30617,11066301701,11,1106,110663,110663017,017,01,01701,11066301701,1,17,170,32,3,29,28,5,27,17,11,0,4,0,15,165,165,130,35,5,7,33,91,130,99,31,66,29,276,142,134,21,36,167,52,412.072726087812,7851.39336658186
-87726.8659906221,-103358.96460001,30618,11065601904,11,1106,110656,110656019,019,04,01904,11065601904,1,17,170,25,0,23,20,0,25,6,16,1,1,1,3,268,266,162,104,24,32,65,78,163,113,50,82,31,360,157,203,30,36,202,92,802.676237687534,36072.7607183985
-88071.1514794685,-103304.685000307,30619,11065700501,11,1106,110657,110657005,005,01,00501,11065700501,1,17,170,9,0,9,7,0,9,2,7,0,0,0,4,45,45,23,22,2,6,14,8,23,17,6,12,5,51,22,29,7,5,23,16,615.399386713263,18505.3061056501
-87956.8819237063,-103309.904749708,30620,11065601905,11,1106,110656,110656019,019,05,01905,11065601905,1,17,170,1,0,1,1,0,1,1,0,0,0,0,0,14,14,12,2,0,0,8,0,12,5,7,10,6,37,18,19,7,6,18,6,604.926367196204,15801.7955570001
-87524.5223856585,-103263.906999899,30621,11065602602,11,1106,110656,110656026,026,02,02602,11065602602,1,17,170,22,3,19,22,4,18,18,4,0,0,0,3,116,116,89,27,3,0,29,52,89,66,23,37,15,180,87,93,14,15,114,37,329.324707252199,5812.13669429225
-93223.9251116066,-101040.643599663,31116,11060800502,11,1106,110608,110608005,005,02,00502,11060800502,1,17,170,10,0,10,6,0,10,0,5,5,0,0,5,352,352,292,60,118,9,229,34,292,203,89,180,74,625,277,348,65,61,314,185,502.412831042053,14160.1436782212
-87973.3033803976,-101067.682350455,31179,11065402505,11,1106,110654,110654025,025,05,02505,11065402505,1,17,170,18,0,17,13,1,17,0,18,0,0,0,5,133,132,108,24,3,5,72,25,108,73,35,59,30,229,104,125,27,34,113,55,676.151606132182,25566.7557147824
-92920.1984162202,-101086.900599873,31180,11060801503,11,1106,110608,110608015,015,03,01503,11060801503,1,17,170,25,10,15,24,8,17,7,9,9,0,0,2,215,215,168,47,31,90,131,26,168,111,57,98,43,354,165,189,42,27,187,98,769.6416740842,20132.6347453719
-94981.8630839561,-107055.82675004,32834,11065801014,11,1106,110658,110658010,010,14,01014,11065801014,1,17,170,8,0,8,7,0,8,0,8,0,0,0,8,87,87,65,22,17,47,46,12,65,41,24,40,19,151,71,80,25,12,65,49,415.77648182076,10196.5320519537
-94500.8823484153,-107010.054949991,32835,11065801015,11,1106,110658,110658010,010,15,01015,11065801015,1,17,170,9,9,0,9,8,1,0,8,1,0,0,1,9,9,7,2,1,6,7,0,7,4,3,5,3,19,7,12,4,4,5,6,238.625566477543,2547.53774696571
-92957.0695299642,-107031.564349762,34133,11065800509,11,1106,110658,110658005,005,09,00509,11065800509,1,17,170,39,31,8,37,26,13,38,0,0,0,1,13,73,73,38,35,9,2,8,27,38,29,9,22,12,76,39,37,10,8,36,22,1646.02440045935,151299.466581071
-93164.2795638013,-106788.332399786,34134,11065800510,11,1106,110658,110658005,005,10,00510,11065800510,1,17,170,12,10,2,12,10,2,5,6,0,1,0,3,30,30,21,9,6,5,16,3,21,17,4,11,3,38,15,23,4,1,13,20,292.681227908865,5131.4545292134
-93299.1208883257,-106775.292999064,34135,11065800511,11,1106,110658,110658005,005,11,00511,11065800511,1,17,170,15,14,1,15,11,4,5,7,2,1,0,1,20,20,19,1,8,9,14,4,19,10,9,17,6,51,25,26,6,5,30,10,288.906921134981,3712.44565025043
-94589.162159013,-106837.698200886,34136,11065801031,11,1106,110658,110658010,010,31,01031,11065801031,1,17,170,27,27,0,27,13,14,1,25,1,0,0,3,28,28,22,6,5,18,21,1,22,10,12,17,11,70,33,37,14,13,28,15,733.013923558037,25014.8735300988
-89024.9960946259,-101108.651099785,32408,11065401202,11,1106,110654,110654012,012,02,01202,11065401202,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.40376483793,50052.0592498096
-92659.9891515773,-101037.851049335,32409,11060800801,11,1106,110608,110608008,008,01,00801,11060800801,1,17,170,12,0,12,12,0,12,0,12,0,0,0,8,216,216,161,55,35,1,72,77,161,126,35,93,25,312,135,177,28,17,157,110,513.687571250423,14105.4646017078
-92398.7349121648,-101037.557850019,32410,11060803303,11,1106,110608,110608033,033,03,03303,11060803303,1,17,170,4,0,4,3,0,4,0,0,4,0,0,0,111,111,86,25,37,78,65,12,86,64,22,52,22,175,73,102,17,19,69,70,514.722826614084,10889.2286374541
-84140.4778286047,-101325.881150075,32411,11062101108,11,1106,110621,110621011,011,08,01108,11062101108,1,17,170,28,13,15,28,17,11,18,10,0,0,0,26,96,96,69,27,8,0,19,44,69,48,21,40,25,154,76,78,34,17,68,35,1644.02202391455,27419.9472500747
-90497.2142943528,-101053.342000439,32412,11063902801,11,1106,110639,110639028,028,01,02801,11063902801,1,17,170,14,0,13,12,0,14,0,13,1,0,0,8,200,199,154,45,26,27,106,31,154,123,31,77,27,290,136,154,25,21,127,117,623.370072624982,14099.8701262769
-87418.5001014273,-101103.936800317,32413,11065401603,11,1106,110654,110654016,016,03,01603,11065401603,1,17,170,28,0,28,28,0,28,0,28,0,0,0,2,196,196,164,32,12,13,76,66,164,101,63,98,60,376,190,186,78,40,184,74,771.275950582359,24996.4035234211
-90748.6617719321,-100980.476200007,32414,11063903001,11,1106,110639,110639030,030,01,03001,11063903001,1,17,170,6,0,6,3,0,6,0,6,0,0,0,4,97,97,77,20,14,30,42,29,77,64,13,32,12,134,62,72,13,10,61,50,319.740648485949,5225.20971004194
-86379.5438754229,-101382.517000455,32415,11062101906,11,1106,110621,110621019,019,06,01906,11062101906,1,17,170,5,0,5,4,0,5,0,0,0,5,0,0,88,88,61,27,60,61,29,28,61,31,30,50,29,163,82,81,36,14,103,10,2938.6755926475,356024.101833042
-88214.6032231932,-103159.546299823,32624,11065700502,11,1106,110657,110657005,005,02,00502,11065700502,1,17,170,10,2,8,8,1,9,0,9,0,1,0,3,55,55,33,22,9,13,19,12,33,21,12,18,10,73,31,42,9,10,33,21,387.844395224127,8617.3638172611
-89544.3484759405,-105857.031150491,32696,11066000107,11,1106,110660,110660001,001,07,00107,11066000107,1,17,170,15,3,12,14,4,11,0,15,0,0,0,8,108,108,73,35,3,2,33,36,73,51,22,36,21,150,68,82,28,10,79,33,287.678847699892,5001.4820630437
-87395.3230061881,-105841.166149992,32697,11066501716,11,1106,110665,110665017,017,16,01716,11066501716,1,17,170,1,0,1,0,0,1,1,0,0,0,0,0,4,4,4,0,0,0,0,2,4,4,0,2,0,7,2,5,0,1,6,0,236.254915418143,2993.18085018959
-90541.0947369751,-105990.632000329,32698,11060201002,11,1106,110602,110602010,010,02,01002,11060201002,1,17,170,28,9,19,26,11,17,28,0,0,0,0,12,142,142,114,28,12,2,7,104,114,90,24,64,23,223,103,120,20,19,133,51,999.687986749399,22206.0575412519
-93289.72372502,-106026.696000603,32699,11065800104,11,1106,110658,110658001,001,04,00104,11065800104,1,17,170,13,4,9,12,4,9,1,10,2,0,0,9,119,119,92,27,23,3,63,24,92,56,36,57,29,218,92,126,32,27,100,59,1711.83143622039,90052.6168915604
-88516.3980202403,-105834.438499557,32700,11066100302,11,1106,110661,110661003,003,02,00302,11066100302,1,17,170,18,1,17,10,0,18,18,0,0,0,0,5,66,66,43,23,1,1,9,30,43,32,11,15,7,83,51,32,8,7,54,14,210.302990401917,2693.41480167881
-92902.841368262,-105809.883149978,32701,11060100704,11,1106,110601,110601007,007,04,00704,11060100704,1,17,170,6,6,0,6,6,0,4,1,1,0,0,1,6,6,5,1,3,4,4,1,5,2,3,5,2,14,8,6,3,0,7,4,209.465851324992,2136.18680951502
-86702.593284113,-105826.73129907,32702,11066500802,11,1106,110665,110665008,008,02,00802,11066500802,1,17,170,21,3,18,13,2,19,20,1,0,0,0,16,73,73,46,27,6,0,8,37,46,38,8,16,9,81,33,48,13,7,46,15,236.323137074992,2201.43749708646
-87960.8183657985,-105808.764999889,32703,11066101206,11,1106,110661,110661012,012,06,01206,11066101206,1,17,170,10,4,6,7,1,9,8,2,0,0,0,2,54,54,21,33,5,5,6,14,21,16,5,11,5,40,25,15,5,3,25,7,276.826938211736,3434.7609987608
-88482.0283537661,-105818.286499717,32704,11066100303,11,1106,110661,110661003,003,03,00303,11066100303,1,17,170,7,0,7,5,0,7,6,1,0,0,0,2,31,31,10,21,0,0,3,5,10,8,2,3,1,17,9,8,0,3,11,3,160.070516369173,1476.31927732718
-88165.1220933566,-105812.803300045,32705,11066101509,11,1106,110661,110661015,015,09,01509,11066101509,1,17,170,11,1,10,7,0,11,11,0,0,0,0,3,50,50,27,23,0,0,20,6,27,21,6,9,3,45,19,26,0,4,22,19,241.092357031125,2988.04845732524
-87360.526871839,-105830.688650011,32706,11066501717,11,1106,110665,110665017,017,17,01717,11066501717,1,17,170,2,1,1,2,0,2,2,0,0,0,0,1,5,5,1,4,1,0,0,1,1,0,1,1,0,3,2,1,0,0,1,2,234.649121078387,2930.78681618259
-89179.2732331518,-105839.918951025,32707,11066000804,11,1106,110660,110660008,008,04,00804,11066000804,1,17,170,29,10,19,28,3,26,19,4,1,1,4,11,107,107,63,44,8,1,13,46,63,50,13,31,9,118,49,69,7,11,69,31,353.910825402044,5838.44482541841
-88956.1942136531,-103301.585400486,32709,11065702406,11,1106,110657,110657024,024,06,02406,11065702406,1,17,170,8,0,8,6,0,8,0,7,0,1,0,1,69,69,52,17,9,3,30,16,52,32,20,34,18,130,60,70,25,16,65,24,1183.85192797079,61582.2803675253
-88284.8786420496,-103173.991200646,32710,11065700208,11,1106,110657,110657002,002,08,00208,11065700208,1,17,170,9,0,9,7,0,9,1,6,2,0,0,1,117,117,81,36,29,17,21,57,81,65,16,30,14,139,72,67,13,9,84,33,326.89916347651,6420.82904774783
-87912.2544570276,-103154.722200586,32711,11065601801,11,1106,110656,110656018,018,01,01801,11065601801,1,17,170,11,0,11,6,0,11,3,5,1,1,1,1,74,74,42,32,18,17,16,18,42,29,13,25,10,102,53,49,12,9,65,16,558.840216441519,18694.0603837994
-88075.6772796567,-103197.777800006,32712,11065700503,11,1106,110657,110657005,005,03,00503,11065700503,1,17,170,16,2,13,11,1,15,0,15,0,1,0,4,104,103,63,40,10,15,41,14,65,38,27,42,24,185,98,87,35,20,71,59,683.437106925469,28416.874147101
-87760.4435258679,-103148.977700019,32713,11065601802,11,1106,110656,110656018,018,02,01802,11065601802,1,17,170,15,0,15,10,0,15,4,6,3,1,1,5,176,176,112,64,64,67,70,27,112,77,35,63,26,243,109,134,32,23,132,56,541.576656265606,17954.2656280087
-90495.9527564468,-103313.031950937,32714,11061000314,11,1106,110610,110610003,003,14,00314,11061000314,1,17,170,30,25,5,30,25,5,23,0,6,1,0,5,80,80,73,7,9,7,61,7,73,36,37,59,25,197,98,99,31,13,96,57,1494.86223298036,60741.9649212237
-90141.8127620518,-103223.238699746,32715,11061001206,11,1106,110610,110610012,012,06,01206,11061001206,1,17,170,43,30,13,43,35,8,25,15,1,1,1,31,115,115,76,39,9,2,16,57,76,41,35,52,35,201,92,109,50,18,104,29,731.193870323223,24698.0095887542
-87614.4636353449,-103230.758150227,32716,11065601803,11,1106,110656,110656018,018,03,01803,11065601803,1,17,170,38,6,32,33,1,37,5,24,1,2,6,14,321,321,257,64,51,102,143,91,257,165,92,144,69,590,285,305,78,59,334,119,778.459028888594,27244.0262012459
-85014.819049109,-103265.39525061,32717,11060701208,11,1106,110607,110607012,012,08,01208,11060701208,1,17,170,16,6,10,13,7,9,7,9,0,0,0,10,165,165,133,32,5,4,71,53,133,108,25,87,25,260,121,139,27,13,118,102,1115.63422376727,53744.3468951867
-86071.4595923791,-103205.686299116,32718,11060700301,11,1106,110607,110607003,003,01,00301,11060700301,1,17,170,9,0,9,9,0,9,0,0,1,8,0,9,137,137,114,23,39,1,9,100,114,63,51,77,45,317,149,168,55,56,150,56,854.494310253433,21221.1053625509
-85342.1727672878,-103154.771450201,32719,11060701101,11,1106,110607,110607011,011,01,01101,11060701101,1,17,170,11,0,11,11,0,11,0,11,0,0,0,0,126,126,108,18,10,1,28,71,108,70,38,75,29,243,121,122,21,23,124,75,433.848509321104,10259.8519846685
-93081.3433826775,-103129.773200881,32720,11060803209,11,1106,110608,110608032,032,09,03209,11060803209,1,17,170,41,41,0,41,41,0,0,26,0,0,15,0,41,41,39,2,30,1,1,37,39,20,19,32,18,107,51,56,13,15,53,26,350.7384327888,6167.53350027813
-91781.9123434577,-101600.540799851,32721,11063900502,11,1106,110639,110639005,005,02,00502,11063900502,1,17,170,11,0,11,7,0,11,0,11,0,0,0,0,192,192,163,29,50,64,111,32,163,119,44,91,31,324,144,180,23,35,127,139,601.983531252774,19412.0284017915
-93012.8837863535,-101596.886949931,32722,11060802412,11,1106,110608,110608024,024,12,02412,11060802412,1,17,170,15,15,0,15,15,0,1,11,3,0,0,5,15,15,10,5,4,9,8,1,10,5,5,7,4,31,11,20,5,6,15,5,631.967151840772,11327.0139038682
-88152.2823397028,-101548.628599991,32723,11065402602,11,1106,110654,110654026,026,02,02602,11065402602,1,17,170,14,0,14,13,0,14,0,12,2,0,0,6,282,282,231,51,85,61,113,103,231,164,67,134,61,493,219,274,49,55,257,132,516.595960725248,16113.7140823909
-87978.7542647171,-101540.498849996,32724,11065402603,11,1106,110654,110654026,026,03,02603,11065402603,1,17,170,6,0,6,3,0,6,0,6,0,0,0,4,123,123,98,25,22,0,34,60,98,63,35,62,33,223,98,125,34,29,92,68,657.138095098981,20385.8470683951
-91166.1195302974,-101501.87815053,32725,11063902501,11,1106,110639,110639025,025,01,02501,11063902501,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.70654603278,53389.2351174994
-87640.191898359,-101461.674350209,32726,11065400702,11,1106,110654,110654007,007,02,00702,11065400702,1,17,170,22,0,22,15,0,22,0,21,0,1,0,1,358,358,271,87,97,32,107,142,271,191,80,145,78,554,244,310,79,52,297,126,632.457372814126,24297.4344941326
-93136.8542909274,-101432.734550618,32727,11060802301,11,1106,110608,110608023,023,01,02301,11060802301,1,17,170,6,0,6,6,0,6,0,0,0,6,0,0,128,128,110,18,87,110,96,10,110,48,62,99,64,311,145,166,63,38,183,27,589.724139465777,13540.2943430363
-87087.3847818425,-101396.808149169,32728,11065402404,11,1106,110654,110654024,024,04,02404,11065402404,1,17,170,27,25,0,27,17,10,0,27,0,0,0,10,28,26,23,3,10,22,19,0,24,9,15,19,13,85,30,55,9,16,36,24,682.525242145754,17018.4218571559
-86063.2685081528,-101448.253550003,32729,11062102502,11,1106,110621,110621025,025,02,02502,11062102502,1,17,170,18,0,18,18,0,18,0,0,18,0,0,18,209,209,204,5,29,1,3,178,204,93,111,175,86,588,307,281,97,66,337,88,538.404881571602,15103.7666216993
-87267.249824955,-101445.124450052,32730,11065402405,11,1106,110654,110654024,024,05,02405,11065402405,1,17,170,14,9,5,13,2,12,0,12,2,0,0,4,93,93,72,21,3,12,14,55,72,52,20,33,19,148,57,91,21,17,80,30,402.130175370331,9665.12996834142
-88078.5647992934,-101438.75865079,32731,11065402801,11,1106,110654,110654028,028,01,02801,11065402801,1,17,170,13,0,13,11,0,13,0,13,0,0,0,2,90,90,55,35,1,1,36,12,55,37,18,36,20,129,62,67,20,15,72,22,581.566715125556,20526.9575770767
-91421.2493968285,-101407.559099881,32732,11063902502,11,1106,110639,110639025,025,02,02502,11063902502,1,17,170,5,0,4,4,0,5,0,4,1,0,0,0,104,104,92,12,39,88,83,2,92,65,27,65,22,201,92,109,28,12,67,94,363.808571256306,8174.87669709076
-92504.821234483,-101664.647450554,32733,11060800201,11,1106,110608,110608002,002,01,00201,11060800201,1,17,170,30,0,30,28,0,30,0,9,20,1,0,24,291,291,213,78,35,48,121,79,213,166,47,108,41,410,184,226,31,35,225,119,1459.63591799761,52563.1792248284
-93352.8167398531,-101538.562749993,32734,11060802112,11,1106,110608,110608021,021,12,02112,11060802112,1,17,170,9,1,8,6,1,8,0,9,0,0,0,8,156,156,122,34,37,2,96,15,122,81,41,90,37,280,127,153,17,42,124,97,1068.43556393866,48787.0222721122
-91489.35594574,-101402.249500312,32735,11063902503,11,1106,110639,110639025,025,03,02503,11063902503,1,17,170,5,0,5,3,0,5,0,4,1,0,0,0,112,112,94,18,59,91,77,6,94,67,27,59,26,201,90,111,27,17,83,74,401.802219236307,7772.23961033152
-91550.7631977284,-101402.442900911,32736,11063902504,11,1106,110639,110639025,025,04,02504,11063902504,1,17,170,5,0,5,4,0,5,0,5,0,0,0,3,100,100,88,12,47,84,76,5,88,58,30,51,21,193,90,103,19,16,88,70,451.518753589484,7888.43772933754
-91617.1819226576,-101394.818799441,32737,11063902505,11,1106,110639,110639025,025,05,02505,11063902505,1,17,170,5,0,5,5,0,5,0,5,0,0,0,3,100,100,76,24,49,72,60,9,76,50,26,51,22,177,80,97,25,18,80,54,438.28919631154,8059.04833655387
-91687.9170903154,-101442.996599623,32738,11063902506,11,1106,110639,110639025,025,06,02506,11063902506,1,17,170,9,0,9,8,0,9,0,8,1,0,0,0,181,181,147,34,66,124,103,25,147,111,36,79,29,294,131,163,35,22,122,115,621.647561167839,17436.8302180471
-87962.0282303074,-101383.69114999,32739,11065402802,11,1106,110654,110654028,028,02,02802,11065402802,1,17,170,17,0,17,16,0,17,0,17,0,0,0,3,113,113,91,22,3,2,65,13,91,56,35,62,34,210,96,114,37,20,107,46,532.608792164335,13155.9550801294
-92579.4853667936,-101369.828500014,32740,11060802601,11,1106,110608,110608026,026,01,02601,11060802601,1,17,170,16,0,16,8,0,16,0,13,1,2,0,3,197,197,144,53,23,10,104,28,144,114,30,74,30,265,106,159,34,16,112,103,390.223319590111,9320.7798927501
-92676.40323912,-101440.194750087,32741,11060802602,11,1106,110608,110608026,026,02,02602,11060802602,1,17,170,30,2,28,20,2,28,0,24,1,5,0,12,392,392,298,94,83,86,181,102,298,206,92,178,80,640,288,352,88,55,304,193,1030.85514531074,52855.5223125655
-93569.329216796,-101381.260949064,32742,11060802201,11,1106,110608,110608022,022,01,02201,11060802201,1,17,170,10,5,4,8,6,4,0,10,0,0,0,0,74,73,58,15,2,12,33,18,66,53,13,32,8,122,48,74,7,8,54,53,621.830070516359,17695.6737269465
-92050.1753529582,-101405.756900395,32743,11060803401,11,1106,110608,110608034,034,01,03401,11060803401,1,17,170,20,0,20,17,0,20,1,14,4,1,0,15,355,355,281,74,83,98,213,48,281,208,73,164,65,575,248,327,60,57,251,207,693.435716613335,20479.4053370256
-92395.7125365587,-101373.989349998,32744,11060800202,11,1106,110608,110608002,002,02,00202,11060800202,1,17,170,32,0,32,30,0,32,0,32,0,0,0,28,249,249,190,59,9,2,77,101,190,135,55,100,48,378,173,205,43,37,209,89,976.210238086901,12373.23323338
-92270.9831617309,-101362.978400121,32745,11060803402,11,1106,110608,110608034,034,02,03402,11060803402,1,17,170,26,0,26,21,0,26,0,23,3,0,0,24,315,315,243,72,34,73,149,73,243,191,52,133,46,474,207,267,34,44,208,188,846.454582102688,18727.483702866
-86226.4554845009,-101040.795900067,32752,11062100701,11,1106,110621,110621007,007,01,00701,11062100701,1,17,170,18,0,18,18,0,18,0,1,17,0,0,18,286,286,258,28,85,3,104,139,258,132,126,215,109,687,327,360,104,74,401,108,646.69485206772,14632.6950059483
-87281.9218320638,-101045.133850483,32753,11065401604,11,1106,110654,110654016,016,04,01604,11065401604,1,17,170,23,13,9,22,11,12,14,8,0,0,1,1,90,89,66,23,15,15,27,37,66,36,30,42,20,199,82,117,22,21,80,76,873.0780840941,28649.5675246679
-83668.3037650648,-102235.7342007,32754,11062101107,11,1106,110621,110621011,011,07,01107,11062101107,1,17,170,77,70,7,77,69,8,61,16,0,0,0,53,112,112,56,56,16,8,28,13,56,35,21,38,20,138,65,73,30,13,63,32,7167.41215276689,1223591.57512427
-87440.6558344201,-105686.419450004,32820,11066501602,11,1106,110665,110665016,016,02,01602,11066501602,1,17,170,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,2,233.997912037749,2927.42298997787
-88708.4047025116,-105687.58189931,32821,11066100104,11,1106,110661,110661001,001,04,00104,11066100104,1,17,170,8,0,8,2,0,8,8,0,0,0,0,0,54,54,34,20,3,4,23,9,34,26,8,20,9,72,32,40,8,9,40,15,307.140189099947,4366.25087726343
-93938.318352026,-105798.559549014,32822,11065801401,11,1106,110658,110658014,014,01,01401,11065801401,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.97437532458,74114.3273838562
-92910.9869316132,-105703.929700535,32823,11060100715,11,1106,110601,110601007,007,15,00715,11060100715,1,17,170,14,14,0,14,14,0,1,11,1,0,1,1,14,14,13,1,3,8,11,1,13,5,8,13,9,43,19,24,7,8,22,6,293.742010680458,5076.81678449204
-87927.072059514,-104725.761349543,32824,11066600303,11,1106,110666,110666003,003,03,00303,11066600303,1,17,170,30,9,21,22,13,17,9,16,5,0,0,11,94,94,57,37,6,4,19,36,57,43,14,30,11,131,77,54,12,11,86,22,491.468187550231,5693.19639034141
-88399.8233676924,-104653.624700009,32825,11066601006,11,1106,110666,110666010,010,06,01006,11066601006,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.493739927649,7069.11385136434
-90168.3747169521,-104732.515800076,32826,11065901504,11,1106,110659,110659015,015,04,01504,11065901504,1,17,170,82,44,38,75,52,30,59,22,0,0,1,57,317,317,211,106,11,23,79,125,211,151,60,121,57,439,194,245,55,34,254,96,1193.6905812511,32339.3241709767
-88275.9837890375,-104698.407450635,32827,11066601007,11,1106,110666,110666010,010,07,01007,11066601007,1,17,170,7,4,3,6,1,6,4,0,0,1,2,0,39,39,17,22,8,15,12,3,17,10,7,15,7,44,19,25,7,6,20,11,795.786827508359,37101.7314660896
-87929.8240270615,-104604.346750004,32828,11066600304,11,1106,110666,110666003,003,04,00304,11066600304,1,17,170,11,3,8,9,2,9,8,2,0,0,1,2,44,44,25,19,4,3,9,13,25,22,3,11,2,49,30,19,2,1,36,10,244.17147056109,3331.23503435614
