X,Y,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
-89022.4092984326,-103903.563199998,36326,11065702306,11,1106,110657,110657023,023,06,02306,11065702306,1,17,170,13,3,10,11,0,13,2,8,1,2,0,1,100,100,75,25,17,6,36,34,75,46,29,52,30,186,82,104,31,27,88,40,424.107783168223,11215.1949147716
-86562.2278259696,-103894.619550481,36327,11066302003,11,1106,110663,110663020,020,03,02003,11066302003,1,17,170,14,2,12,12,1,13,9,5,0,0,0,5,113,113,89,24,0,0,39,42,89,73,16,41,15,156,66,90,10,12,88,46,331.80972778552,5369.98004536809
-86946.7074057987,-106005.446949042,36328,11066500911,11,1106,110665,110665009,009,11,00911,11066500911,1,17,170,4,1,3,2,0,4,2,0,0,1,1,1,15,15,6,9,0,1,6,0,6,4,2,2,2,10,5,5,1,1,7,1,232.050955759507,2659.94517342512
-93854.5828408392,-106123.579649205,36329,11065800607,11,1106,110658,110658006,006,07,00607,11065800607,1,17,170,20,10,9,19,1,19,0,0,20,0,0,13,139,138,115,23,53,53,84,18,115,84,31,79,32,257,122,135,27,25,131,74,831.545218355845,26932.9872972654
-87088.7403493822,-106012.826249024,36330,11066500912,11,1106,110665,110665009,009,12,00912,11066500912,1,17,170,8,3,5,6,0,8,8,0,0,0,0,6,27,27,15,12,1,0,8,7,15,13,2,9,3,30,17,13,4,3,19,4,556.719644805596,10385.7289188477
-88642.6919038317,-106007.414149981,36331,11066100703,11,1106,110661,110661007,007,03,00703,11066100703,1,17,170,4,0,4,3,1,3,3,1,0,0,0,1,18,18,11,7,0,0,2,7,11,9,2,4,2,22,10,12,2,6,10,4,179.636434095134,1569.41192727677
-89267.8213366732,-106054.233900009,36332,11066000904,11,1106,110660,110660009,009,04,00904,11066000904,1,17,170,27,6,21,25,1,26,23,2,0,0,2,6,116,116,67,49,9,10,28,28,67,50,17,31,14,137,64,73,12,20,80,25,396.244911095491,8237.36213046119
-88861.1605656002,-106014.442950506,36333,11066002103,11,1106,110660,110660021,021,03,02103,11066002103,1,17,170,21,3,18,19,0,21,21,0,0,0,0,12,82,82,57,25,3,0,16,37,57,48,9,23,9,98,48,50,7,9,59,23,190.058490652501,2114.97546232222
-87442.3773716493,-106003.856999985,36334,11066500913,11,1106,110665,110665009,009,13,00913,11066500913,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.113697823427,3190.14276111265
-87289.8788732421,-106003.318949738,36335,11066500914,11,1106,110665,110665009,009,14,00914,11066500914,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.888310385235,3326.94740520672
-89582.4401120203,-105208.428600913,36336,11065900401,11,1106,110659,110659004,004,01,00401,11065900401,1,17,170,36,3,33,35,3,33,15,19,2,0,0,9,217,217,171,46,17,18,75,81,171,123,48,100,42,355,159,196,61,15,185,94,557.004616144609,14501.0471154257
-88603.0284251381,-105211.277349997,36337,11066600103,11,1106,110666,110666001,001,03,00103,11066600103,1,17,170,21,2,19,16,0,21,18,1,0,1,1,11,98,98,75,23,9,4,25,43,75,59,16,39,13,142,62,80,15,6,80,41,301.421090299215,4956.0673934548
-86944.6766533575,-105221.020049672,36338,11066500304,11,1106,110665,110665003,003,04,00304,11066500304,1,17,170,13,4,6,8,4,9,12,0,0,1,0,2,53,50,30,20,1,0,11,17,31,21,10,17,5,94,58,36,5,5,68,16,328.367773547745,4467.68825758734
-89046.5239517037,-105268.621399933,36339,11065902202,11,1106,110659,110659022,022,02,02202,11065902202,1,17,170,25,5,20,17,1,24,20,0,2,0,3,15,135,135,98,37,15,19,31,62,98,83,15,42,15,175,91,84,16,13,101,45,552.013288118178,7678.44889552075
-90264.9879628803,-105189.508999641,36340,11065900501,11,1106,110659,110659005,005,01,00501,11065900501,1,17,170,23,1,22,20,2,21,2,16,1,2,2,6,166,166,125,41,6,36,67,48,125,91,34,70,38,248,108,140,28,23,145,52,401.557931238612,7515.810797211
-88676.1604687718,-105201.068750614,36341,11066101107,11,1106,110661,110661011,011,07,01107,11066101107,1,17,170,24,3,21,18,3,21,23,0,0,1,0,3,131,131,70,61,3,1,27,41,70,55,15,34,18,136,65,71,18,12,72,34,328.493918375433,5885.7793102764
-87197.0429430028,-103805.848199937,36342,11065601601,11,1106,110656,110656016,016,01,01601,11065601601,1,17,170,17,0,17,14,0,17,6,8,3,0,0,0,196,196,156,40,45,73,89,53,156,115,41,82,35,319,138,181,31,25,185,78,469.249463619215,9766.47765128331
-88388.9505099668,-103831.8471,36343,11065702309,11,1106,110657,110657023,023,09,02309,11065702309,1,17,170,10,0,9,4,0,10,4,5,1,0,0,0,91,91,61,30,18,5,12,44,61,42,19,32,19,134,61,73,19,22,61,32,642.505407539692,18632.5842353595
-90272.2939834566,-104035.766099336,36344,11061000513,11,1106,110610,110610005,005,13,00513,11061000513,1,17,170,18,13,5,18,12,6,1,10,0,3,4,12,62,62,42,20,3,1,25,11,42,33,9,20,4,76,40,36,3,4,48,21,1978.51352683903,74488.4163100971
-86727.4968822744,-103827.987400572,36345,11066300601,11,1106,110663,110663006,006,01,00601,11066300601,1,17,170,59,1,56,57,2,57,47,11,1,0,0,13,480,478,351,127,21,7,163,170,352,255,97,203,89,739,345,394,77,71,417,174,654.191436554388,22608.1388013337
-87748.7495458642,-103776.225550965,36346,11065601704,11,1106,110656,110656017,017,04,01704,11065601704,1,17,170,16,2,14,14,1,15,9,7,0,0,0,2,119,119,95,24,5,0,43,47,95,71,24,51,24,208,96,112,22,18,132,36,717.04601049989,22896.7011235706
-89568.3139235425,-103748.25454985,36347,11061000805,11,1106,110610,110610008,008,05,00805,11061000805,1,17,170,54,21,33,46,21,33,26,22,3,3,0,7,237,237,191,46,23,26,70,110,191,132,59,109,53,389,168,221,47,38,218,86,480.420590211354,13198.4429079613
-91571.2318187105,-99909.8306004912,36348,11061101205,11,1106,110611,110611012,012,05,01205,11061101205,1,17,170,30,26,4,29,29,1,24,3,1,1,1,21,40,40,19,21,10,3,6,12,19,17,2,13,2,38,19,19,3,1,13,21,1306.65631435986,96139.9579776848
-85043.5761756522,-99806.0006997712,36349,11063302306,11,1106,110633,110633023,023,06,02306,11063302306,1,17,170,24,0,24,22,0,24,0,24,0,0,0,0,208,208,163,45,14,1,124,28,163,110,53,95,45,356,171,185,41,24,212,79,771.533827893278,21745.0302141482
-88278.1889856284,-96477.566549641,36350,11066401605,11,1106,110664,110664016,016,05,01605,11066401605,1,17,170,10,6,4,10,5,5,1,3,6,0,0,0,29,29,23,6,1,7,6,13,23,11,12,17,13,65,26,39,17,11,32,5,557.379464650705,10402.0301676902
-88461.8328356983,-96416.5414498701,36351,11066401606,11,1106,110664,110664016,016,06,01606,11066401606,1,17,170,11,11,0,11,11,0,0,2,2,7,0,4,31,31,3,8,0,0,3,0,23,17,6,14,11,57,28,29,15,7,29,6,548.949020896093,4708.09019239307
-84010.6174421588,-96888.8244000231,36352,11066200510,11,1106,110662,110662005,005,10,00510,11066200510,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.91697894663,114037.196059093
-90353.1015997615,-98870.7033992574,36364,11061803401,11,1106,110618,110618034,034,01,03401,11061803401,1,17,170,42,34,8,39,32,10,41,0,0,0,1,18,63,63,45,18,10,7,19,22,45,40,5,20,8,82,39,43,11,8,38,25,610.858495772141,10983.0965576258
-89377.2616017465,-98931.5561005712,36365,11061802003,11,1106,110618,110618020,020,03,02003,11061802003,1,17,170,11,1,10,9,0,11,0,9,2,0,0,0,241,241,179,60,96,108,135,30,181,128,53,104,44,386,171,215,48,38,153,147,752.613569193509,19905.0971844291
-85858.5022507329,-98867.3863992585,36366,11063301615,11,1106,110633,110633016,016,15,01615,11063301615,1,17,170,35,35,0,35,27,8,4,26,1,2,2,6,37,37,31,6,8,27,22,0,31,21,10,22,10,68,29,39,9,6,32,21,584.138592834518,12406.8752719304
-85697.4881495504,-103098.908600537,36367,11060701007,11,1106,110607,110607010,010,07,01007,11060701007,1,17,170,48,48,0,48,48,0,0,0,48,0,0,15,48,48,45,3,21,2,23,6,45,23,22,38,16,124,71,53,13,19,57,35,2434.29601252814,112683.896992454
-86278.2835052146,-102828.770299231,36368,11060700201,11,1106,110607,110607002,002,01,00201,11060700201,1,17,170,26,1,25,23,1,25,4,21,1,0,0,6,223,223,184,39,41,34,89,84,184,136,48,110,45,388,181,207,40,33,212,103,710.06663079206,12229.797741143
-87416.5645075887,-102934.655600142,36369,11065501803,11,1106,110655,110655018,018,03,01803,11065501803,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234.59987858633,101803.273826663
-88562.0833270609,-102896.081199285,36370,11065700602,11,1106,110657,110657006,006,02,00602,11065700602,1,17,170,31,2,29,23,2,29,1,19,6,5,0,13,246,246,179,67,43,23,104,58,179,109,70,116,64,418,191,227,63,48,227,80,657.623104285215,19211.5559251785
-85212.3043704481,-101059.058899032,36371,11062101601,11,1106,110621,110621016,016,01,01601,11062101601,1,17,170,5,0,5,3,0,5,0,3,2,0,0,5,207,207,166,41,63,2,118,36,166,108,58,116,39,383,190,193,30,43,204,106,597.380576006882,13513.324594105
-93391.708170725,-101065.023150609,36372,11060800602,11,1106,110608,110608006,006,02,00602,11060800602,1,17,170,15,0,15,14,0,15,0,6,7,2,0,5,201,201,170,30,64,126,126,29,171,126,45,108,45,348,154,194,30,41,170,107,653.9081042465,15102.6852178142
-87097.6718413105,-101022.821149794,36373,11065402306,11,1106,110654,110654023,023,06,02306,11065402306,1,17,170,23,23,0,23,18,5,0,23,0,0,0,4,23,23,23,0,10,22,20,0,23,14,9,15,8,55,27,28,10,3,20,22,372.728899977396,7368.39622404232
-87779.4728475335,-104577.21804971,36378,11066600307,11,1106,110666,110666003,003,07,00307,11066600307,1,17,170,32,8,24,24,9,23,26,5,0,0,1,16,160,160,105,55,9,8,36,63,105,81,24,51,21,216,100,116,22,17,135,42,906.862068275125,50403.5377229803
-88454.9312964055,-104432.474599998,36379,11066601303,11,1106,110666,110666013,013,03,01303,11066601303,1,17,170,3,0,3,2,0,3,2,0,0,0,1,1,27,27,5,22,1,2,0,4,5,4,1,3,0,10,5,5,0,0,7,3,515.967540662019,13390.3359244636
-89934.7643294555,-104358.088650014,36380,11061000502,11,1106,110610,110610005,005,02,00502,11061000502,1,17,170,35,35,0,35,35,0,0,35,0,0,0,23,36,36,19,17,6,0,9,8,19,12,7,14,4,47,25,22,8,3,27,9,265.199810473449,2597.25545832898
-85461.3499897506,-104388.141500074,36381,11066302503,11,1106,110663,110663025,025,03,02503,11066302503,1,17,170,16,0,16,15,0,16,0,13,2,1,0,3,173,173,137,36,37,54,69,55,137,87,50,88,38,312,150,162,32,27,175,78,493.642550439226,13636.974386194
-87586.5069800827,-104408.031000144,36382,11065600802,11,1106,110656,110656008,008,02,00802,11065600802,1,17,170,22,2,20,19,2,20,12,5,2,0,3,4,234,234,162,72,31,25,58,86,162,121,41,86,34,335,172,163,28,46,195,66,682.69428200814,18762.7098158995
-89607.3322376272,-104477.080800479,36383,11065902106,11,1106,110659,110659021,021,06,02106,11065902106,1,17,170,6,0,6,4,0,6,0,0,6,0,0,0,114,114,81,33,56,70,50,19,81,62,19,51,15,174,86,88,24,11,81,58,1321.98141768966,92683.5044156176
-87352.9945842586,-104336.865200701,36384,11065602501,11,1106,110656,110656025,025,01,02501,11065602501,1,17,170,2,1,1,2,0,2,1,1,0,0,0,0,5,5,5,0,1,0,1,4,5,3,2,4,2,13,6,7,4,1,8,0,203.698095588501,2053.57847901147
-90181.8614395444,-104360.602699753,36385,11061000201,11,1106,110610,110610002,002,01,00201,11061000201,1,17,170,6,0,6,6,0,6,0,0,6,0,0,0,108,108,98,10,6,4,80,9,98,58,40,76,23,238,106,132,27,13,116,82,404.087823810438,9660.94509869978
-86943.5741561166,-104313.860149623,36386,11065603306,11,1106,110656,110656033,033,06,03306,11065603306,1,17,170,4,0,4,3,0,4,3,1,0,0,0,1,29,29,27,1,1,1,6,18,28,23,5,13,6,55,23,32,7,4,36,8,203.813176703123,1955.37030220987
-87253.506739894,-104332.152499756,36387,11065602502,11,1106,110656,110656025,025,02,02502,11065602502,1,17,170,25,9,16,21,10,15,15,6,2,2,0,1,85,85,49,35,3,3,22,24,50,38,12,24,8,103,60,43,7,5,69,22,478.016849513999,13346.983796675
-88129.6645799575,-104376.401049793,36388,11066601209,11,1106,110666,110666012,012,09,01209,11066601209,1,17,170,20,2,17,14,1,19,14,4,0,2,0,4,130,130,66,64,7,4,33,22,66,45,21,33,15,139,79,60,19,9,82,29,600.312976528273,18622.1049067728
-86672.3361764193,-104358.129249963,36389,11066300202,11,1106,110663,110663002,002,02,00202,11066300202,1,17,170,13,0,13,11,1,12,11,2,0,0,0,5,93,93,70,23,2,2,15,53,70,46,24,45,25,190,103,87,29,13,121,27,263.615715059514,4119.76528676935
-87786.5175936018,-104351.550099926,36390,11066600401,11,1106,110666,110666004,004,01,00401,11066600401,1,17,170,19,1,18,12,1,18,17,1,0,0,1,4,213,213,140,73,15,20,36,91,140,119,21,65,20,247,116,131,21,13,138,75,466.456037339785,11356.4509194681
-85039.3854453801,-104856.994600005,36391,11066302504,11,1106,110663,110663025,025,04,02504,11066302504,1,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121.28463140879,601630.875186975
-89918.1873357309,-104306.081250088,36392,11061000504,11,1106,110610,110610005,005,04,00504,11061000504,1,17,170,29,22,7,29,19,10,4,24,0,0,1,21,53,53,29,24,9,0,7,18,29,22,7,20,5,61,29,32,4,6,37,14,386.046595459752,4960.63884673123
-86475.4733303193,-102812.374449319,36393,11065501301,11,1106,110655,110655013,013,01,01301,11065501301,1,17,170,17,0,17,16,0,17,12,2,0,3,0,10,116,116,83,33,24,25,21,57,83,61,22,50,16,175,73,102,18,11,67,79,565.48544858666,14004.1279133709
-85849.6339777816,-102793.05389901,36394,11060701008,11,1106,110607,110607010,010,08,01008,11060701008,1,17,170,12,2,10,12,2,10,2,10,0,0,0,1,76,76,62,14,0,0,27,31,62,40,22,39,17,137,60,77,15,14,73,35,376.484942285845,5216.20211873815
-86637.6068735672,-102791.395800555,36395,11065501804,11,1106,110655,110655018,018,04,01804,11065501804,1,17,170,19,2,17,15,1,18,8,10,0,0,1,16,138,138,108,30,22,23,47,43,108,84,24,54,18,215,93,122,13,20,133,49,528.186092848143,13053.8735186131
-86744.2431576589,-102791.409100009,36396,11065501805,11,1106,110655,110655018,018,05,01805,11065501805,1,17,170,12,0,12,10,0,12,7,5,0,0,0,11,128,128,100,28,10,0,36,55,100,68,32,52,25,207,97,110,19,21,114,53,307.551897834984,5769.49493566032
-86817.4671671717,-102794.107000034,36397,11065501901,11,1106,110655,110655019,019,01,01901,11065501901,1,17,170,16,0,16,15,0,16,14,2,0,0,0,6,142,142,95,47,9,4,46,40,95,69,26,49,18,195,83,112,17,21,98,59,353.24060209021,7721.27474793125
-86892.4047482068,-102795.21540004,36398,11065501902,11,1106,110655,110655019,019,02,01902,11065501902,1,17,170,11,0,11,11,0,11,7,4,0,0,0,5,104,104,65,39,1,2,40,22,65,41,24,37,19,148,67,81,11,25,76,36,346.121920840092,7164.0271257048
-86964.7283330812,-102783.2985,36399,11065501903,11,1106,110655,110655019,019,03,01903,11065501903,1,17,170,13,0,13,11,0,13,4,9,0,0,0,6,125,125,71,54,9,0,22,47,71,48,23,40,20,161,68,93,27,15,97,22,376.35472433538,8538.74932774842
